Date,EECI
2019/3/30,9.513815023
2019/3/31,9.436439416
2019/4/01,9.49361792
2019/4/02,9.53593429
2019/4/03,9.477009868
2019/4/04,9.374085391
2019/4/05,9.319593113
2019/4/06,9.224542703
2019/4/07,9.175281195
2019/4/08,9.075594009
2019/4/09,9.019584085
2019/4/10,8.912689138
2019/4/11,8.854616084
2019/4/12,8.797071322
2019/4/13,8.685095345
2019/4/14,8.62575395
2019/4/15,8.526786288
2019/4/16,8.475465965
2019/4/17,8.378957626
2019/4/18,8.326745461
2019/4/19,8.215886895
2019/4/20,8.156241803
2019/4/21,8.049348858
2019/4/22,7.994293878
2019/4/23,7.888898233
2019/4/24,7.831224364
2019/4/25,7.719075746
2019/4/26,7.661144295
2019/4/27,7.603517377
2019/4/28,7.495006864
2019/4/29,7.442640153
2019/4/30,7.349753961
2019/5/01,7.302497829
2019/5/02,7.212498374
2019/5/03,7.167475075
2019/5/04,7.086458393
2019/5/05,7.048826025
2019/5/06,7.014159145
2019/5/07,6.956377652
2019/5/08,6.93026498
2019/5/09,6.887072376
2019/5/10,6.863476548
2019/5/11,6.814389706
2019/5/12,6.792095589
2019/5/13,6.749343923
2019/5/14,6.733595033
2019/5/15,6.723268984
2019/5/16,6.693215097
2019/5/17,6.72599986
2019/5/18,6.823271709
2019/5/19,6.934124159
2019/5/20,7.061005809
2019/5/21,7.238378374
2019/5/22,7.369191798
2019/5/23,7.377184573
2019/5/24,7.34642654
2019/5/25,7.316274578
2019/5/26,7.248052895
2019/5/27,7.227240413
2019/5/28,7.176385181
2019/5/29,7.16318626
2019/5/30,7.126852902
2019/5/31,7.121000362
2019/6/01,7.112725107
2019/6/02,7.1042359
2019/6/03,7.11568557
2019/6/04,7.125002695
2019/6/05,7.155283553
2019/6/06,7.184635595
2019/6/07,7.210884745
2019/6/08,7.219862948
2019/6/09,7.249688441
2019/6/10,7.219531327
2019/6/11,7.208412608
2019/6/12,7.175748728
2019/6/13,7.164872326
2019/6/14,7.133656763
2019/6/15,7.126970728
2019/6/16,7.103322809
2019/6/17,7.097936254
2019/6/18,7.074106476
2019/6/19,7.068167602
2019/6/20,7.040658036
2019/6/21,7.037738148
2019/6/22,7.016778338
2019/6/23,7.014653006
2019/6/24,6.993731335
2019/6/25,6.998325354
2019/6/26,7.001273246
2019/6/27,7.012039218
2019/6/28,7.018949635
2019/6/29,7.03345089
2019/6/30,7.04299646
2019/7/01,7.051765078
2019/7/02,7.050792009
2019/7/03,7.061110867
2019/7/04,7.065069753
2019/7/05,7.074163103
2019/7/06,7.069776982
2019/7/07,7.075764911
2019/7/08,7.078799941
2019/7/09,7.091197258
2019/7/10,7.093363665
2019/7/11,7.098556966
2019/7/12,7.09541503
2019/7/13,7.100858802
2019/7/14,7.096400242
2019/7/15,7.096705803
2019/7/16,7.094578428
2019/7/17,7.106286318
2019/7/18,7.112516168
2019/7/19,7.125488602
2019/7/20,7.139468871
2019/7/21,7.139236094
2019/7/22,7.138347571
2019/7/23,7.129416015
2019/7/24,7.126934105
2019/7/25,7.119125829
2019/7/26,7.121644661
2019/7/27,7.12009193
2019/7/28,7.121271652
2019/7/29,7.116199811
2019/7/30,7.116236708
2019/7/31,7.117490768
2019/8/01,7.114745265
2019/8/02,7.116343102
2019/8/03,7.114876989
